Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4171431,WHS4_100,COUNTRY,GHA,AFR,YEAR,Africa,,2011,,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4298177,WHS4_100,COUNTRY,CHL,AMR,YEAR,Americas,,2015,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4342782,WHS4_100,COUNTRY,POL,EUR,YEAR,Europe,,2022,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4357469,WHS4_100,COUNTRY,JPN,WPR,YEAR,Western Pacific,,2019,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4361307,WHS4_100,COUNTRY,UGA,AFR,YEAR,Africa,,2018,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4407722,WHS4_100,COUNTRY,BRA,AMR,YEAR,Americas,,2014,,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4547237,WHS4_100,COUNTRY,CHN,WPR,YEAR,Western Pacific,,2019,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4548101,WHS4_100,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,2013,,,,,,,,65,65.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4577591,WHS4_100,COUNTRY,SGP,WPR,YEAR,Western Pacific,,2014,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4618816,WHS4_100,COUNTRY,CHL,AMR,YEAR,Americas,,2016,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
