Country,Year,doctors_per_10k,hospital_beds_per_10k,infant_mortality_rate,maternal_mortality_rate,tb_incidence_per_100k,dtp3_vaccination_rate,nurses_per_10k,gdp_per_capita,pop_density,health_exp_usd,health_exp_gdp,population_total,urban_population,poverty_headcount,gini_index
KOR,2016,22.9,98.0,2.785458339,0.649999976,119.686917793,3.411447828,98.0,30832.0628072516,525.370072521002,2015.13208008,6.89293242,51217803.0,81.5559241797057,0.2,35.2
KOR,2017,23.43,97.0,2.7199176183333336,0.5,122.574819367,3.3197446083333335,97.0,33296.9845439195,526.734806686494,2221.75146484,7.04771852,51361911.0,81.471030429984,0.2,34.9
KOR,2018,23.86,98.0,2.6532237263333336,0.472619176,124.294904732,3.2268416196666667,98.0,35363.9508228687,528.969011484824,2493.33569336,7.46262026,51585058.0,81.3823523035196,0.2,33.7
KOR,2019,24.58,98.0,2.582101009666667,0.4228810965,124.293374088,3.1300044756666665,98.0,33826.9443301597,530.377274590164,2592.47851563,8.1267519,51764822.0,81.2901063535619,0.2,33.2
KOR,2020,25.07,98.0,2.507761669666667,0.3720229865,126.476515963,3.0306360266666665,98.0,33645.7719545073,531.109006147541,2649.33422852,8.3554945,51836239.0,81.1759595622913,0.0,32.7
KOR,2021,25.17,98.0,2.435516514,0.21804128450000002,127.474519417,2.934164626,98.0,37518.4635305697,530.425604508197,3141.52246094,8.95732689,51769539.0,81.1616526507785,0.2,32.9
KOR,2022,26.1,98.0,2.3660223316666666,0.20445680500000002,128.054612101,2.843058379,97.0,34822.4048404971,529.43205942623,3049.67163086,9.43414211,51672569.0,81.1624941626873,,
KOR,2023,,98.0,2.3003217373333333,,,2.756188934666666,97.0,35674.095995632,529.842407786885,3269.70385742,9.88014412,51712619.0,81.1645551720421,,
KOR,2024,,97.0,,,,,97.0,,,,,,,,
MDG,2010,1.86,70.0,46.128426424,81.330766195,3.291658971,70.698484247625,70.0,450.009391645726,38.1458541114971,21.13975906,4.69762659,22183340.0,27.8651684949103,65.3,42.4
MDG,2011,1.37,73.0,45.165557758666665,80.962574945,3.157875596,68.98387981275,73.0,506.163691559309,39.2273910913638,22.88667488,4.521595,22822300.0,28.1336807024963,,
MDG,2012,1.36,68.0,44.48925613266667,,,67.708153289375,71.0,493.511162904211,40.327672118186,19.30151749,3.91105914,23462438.0,28.3988032871081,67.3,42.6
MDG,2013,1.46,70.0,44.042634832,79.10788823499999,3.233608155,66.81804892125,72.0,515.301589361832,41.4391371605363,19.33186913,3.75156307,24109290.0,28.6604637105393,,
MDG,2014,1.73,68.0,43.77336766333334,81.940164545,3.171089805,66.1671333925,71.0,505.684922503435,42.5650532829151,22.56570244,4.46240282,24764348.0,28.9185894345838,,
MDG,2015,,62.0,43.671028406999994,,,65.80116041725,68.0,445.320069480568,43.7035097971812,22.29386139,5.0062542,25426702.0,29.1731079210354,,
MDG,2016,,68.0,43.68211366133334,78.56111668349999,,65.629293786125,72.0,453.970714522463,44.8606943966999,24.20793915,5.33248854,26099952.0,29.4239466316878,,
MDG,2017,,65.0,43.819914571,78.844978553,,65.638064145375,69.0,491.866848718929,46.0439584049502,23.62072182,4.80225945,26788375.0,29.671033028335,,
MDG,2018,,74.0,44.079611521333334,76.687594894,,65.79583306725,71.0,500.45718552916,47.2583808869027,21.12731934,4.22160387,27494926.0,29.9181125346909,,
MDG,2019,,69.0,44.38257666500001,75.046293734,,66.040768390375,69.0,499.818837622534,48.5038741835682,15.50084877,3.10129309,28219554.0,30.3046972370204,,
MDG,2020,,67.0,44.643363971666666,,,66.215344728125,66.0,450.771615201509,49.7654795462358,16.78295326,3.72316122,28953556.0,30.7019474167548,,
MDG,2021,,55.0,44.776321136,,,66.174143616625,55.0,483.469463351195,51.0331436919904,17.17938805,3.5045228,29691083.0,31.1137123216036,69.2,36.8
MDG,2022,1.72,57.0,44.602323098999996,,,65.69195280375,55.0,503.51453347296,52.3156772086628,16.32154655,3.25023246,30437261.0,31.5397813465886,,
MDG,2023,,65.0,44.09471084933333,,,64.74052057925,63.0,508.718427705591,53.6196837401169,,,31195932.0,31.9799438860946,,
MDG,2024,,60.0,,,,,62.0,,,,,,,,
MEX,2010,20.07,95.0,16.224404945999996,40.327845632999995,10.517681764,19.094116999,95.0,9728.80078377082,58.4500090022892,534.08520508,5.4897337,113623895.0,76.5244441414713,8.4,47.7
MEX,2011,21.09,97.0,15.717734336,40.972504436,10.332990222,18.479725530333337,97.0,10664.4944032313,59.2831626327838,565.31738281,5.30093002,115243504.0,76.5667802279537,,
MEX,2012,21.2,99.0,15.224988137333334,41.2332568755,10.212106573,17.882745663333335,99.0,10744.1335242686,60.0932163893104,582.48297119,5.42140484,116818208.0,76.6585199140734,7.3,49.6
MEX,2013,21.64,83.0,14.753834300666666,40.342251718,10.200722941,17.309895162333333,83.0,11216.8008505428,60.8778893490059,625.59765625,5.5773263,118343573.0,76.7955768077952,,
