Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5976086,MDG_0000000001,COUNTRY,IDN,WPR,YEAR,Western Pacific,SEX,2023,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.0 [12.5-23.0],16.954329989,12.512173923,22.9829299,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
5979642,MDG_0000000001,COUNTRY,BRA,AMR,YEAR,Americas,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.8 [12.0-13.7],12.817967402,11.978913437,13.716363331,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5982275,MDG_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,SEX,2018,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,36.4 [28.6-46.5],36.411845937,28.602424535,46.455617067,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5997977,MDG_0000000001,COUNTRY,KEN,AFR,YEAR,Africa,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,40.9 [37.6-44.6],40.866746291,37.646950633,44.624302289,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6008515,MDG_0000000001,COUNTRY,COL,AMR,YEAR,Americas,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.0 [8.4-17.2],11.990325345,8.375972301,17.177653603,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6018038,MDG_0000000001,COUNTRY,ZAF,AFR,YEAR,Africa,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.1 [22.3-26.0],24.111639494,22.251290269,26.011993897,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6019294,MDG_0000000001,COUNTRY,POL,EUR,YEAR,Europe,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.8 [3.7-3.8],3.750542856,3.670133804,3.83295503,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6022445,MDG_0000000001,COUNTRY,COL,AMR,YEAR,Americas,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.0 [7.9-15.3],10.973850304,7.876776733,15.262620068,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6026641,MDG_0000000001,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,2015,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.7 [17.5-22.2],19.737674032,17.467871133,22.228594795,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6032120,MDG_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,2020,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,28.1 [25.5-30.8],28.07691692,25.477925082,30.755755184,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6044550,MDG_0000000001,COUNTRY,PHL,WPR,YEAR,Western Pacific,SEX,2023,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.5 [18.6-32.7],24.507892409,18.642601416,32.722985384,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6045363,MDG_0000000001,COUNTRY,KOR,WPR,YEAR,Western Pacific,SEX,2019,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.3 [2.3-2.4],2.333373526,2.256109805,2.411296106,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6047586,MDG_0000000001,COUNTRY,KOR,WPR,YEAR,Western Pacific,SEX,2010,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.5 [3.5-3.6],3.54002909,3.456076535,3.625675126,,2025-04-15T15:49:27.583+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6048766,MDG_0000000001,COUNTRY,RWA,AFR,YEAR,Africa,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,35.1 [28.6-42.7],35.087280587,28.630696058,42.720054658,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6051807,MDG_0000000001,COUNTRY,UGA,AFR,YEAR,Africa,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,29.5 [20.6-41.7],29.527675514,20.616835897,41.707696495,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6059882,MDG_0000000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,2017,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.1 [31.1-35.3],33.14474226,31.06486428,35.339678047,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6085308,MDG_0000000001,COUNTRY,JPN,WPR,YEAR,Western Pacific,SEX,2019,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,1.9 [1.9-1.9],1.900056899,1.851889996,1.946935599,,2025-04-15T15:49:27.583+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6089314,MDG_0000000001,COUNTRY,CHN,WPR,YEAR,Western Pacific,SEX,2011,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,10.7 [9.9-11.5],10.698939787,9.92701268,11.503315072,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6097345,MDG_0000000001,COUNTRY,MEX,AMR,YEAR,Americas,SEX,2020,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.8 [10.5-13.3],11.839087132,10.459129373,13.308663724,,2025-04-15T15:49:27.583+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6129953,MDG_0000000001,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,52.9 [47.1-59.6],52.907347653,47.102626821,59.554416319,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
